epoch,train_loss,train_ppl,train_acc,val_loss,val_ppl,val_acc
1,2.8295506417509997,16.93784795251792,0.27894894989878544,2.518523693084717,12.410261777665315,0.33046875
2,2.5170561408224374,12.392062427433169,0.32900766225961536,2.3892995289393832,10.905852033145486,0.3594308035714286
3,2.4283511107749787,11.340167974714783,0.34960047918775305,2.306848362513951,10.042723701816668,0.37924107142857144
4,2.3665813704733907,10.660884302179172,0.3648933688638664,2.241576712472098,9.408153552192383,0.39363839285714286
5,2.3188660974927275,10.164142622602448,0.376707007527834,2.1894915989467076,8.930671597493731,0.4108258928571429
6,2.2827541615798888,9.80364408120177,0.38624035298583,2.1540035928998673,8.619297569514712,0.41947544642857143
7,2.2514905253885247,9.501888092030294,0.39442351182945345,2.1207978384835378,8.337787042069476,0.42611607142857144
8,2.2262101588461563,9.264687766504641,0.400877917826417,2.091597693307059,8.097842703522725,0.4351841517857143
9,2.2034164266547696,9.055899525993713,0.4069982366523279,2.071453625815255,7.9363512220599315,0.4381696428571429
10,2.1847774799053488,8.888670425508526,0.4114955639549595,2.0482688222612655,7.75446512222872,0.44838169642857145
11,2.1688299005330816,8.748041970542646,0.41570723684210525,2.027047688620431,7.5916403550775495,0.45223214285714286
12,2.153176232388145,8.612169252317619,0.41968267649291496,2.012576402936663,7.482570651534787,0.45577566964285715
13,2.1395267156454234,8.495415929812369,0.4229869765308704,2.0022131102425713,7.405427003292328,0.45987723214285714
14,2.127100527527844,8.390503474244689,0.4260807423456478,1.9874883379255022,7.297182669123695,0.46199776785714286
15,2.1164254070776196,8.30141022567289,0.42915869338309715,1.9764446803501674,7.217038439721016,0.4646484375
16,2.106115277479535,8.216261312830015,0.43138660013917,1.9657890319824218,7.140544485964628,0.4667410714285714
17,2.0944704903282134,8.12113960953791,0.43421645685728744,1.9571054322378976,7.078807294162124,0.46958705357142855
18,2.0866849142530186,8.058157354001327,0.4364038382464575,1.945467812674386,6.996904330047706,0.47262834821428573
19,2.0781161312149603,7.989403740029138,0.4386317450025304,1.9412208012172154,6.967251409910108,0.4743582589285714
20,2.071110176653997,7.93362595691107,0.44024979440789475,1.931980460030692,6.9031681612636895,0.47472098214285713
21,2.0632591450262647,7.871582679157304,0.442378858805668,1.9298134803771974,6.888225332563836,0.47352120535714287
22,2.0563156701292584,7.817115855763996,0.44379625822368424,1.919518906729562,6.817677741304592,0.4783203125
23,2.051449131386483,7.779165975773636,0.44515336380313764,1.9143458093915666,6.7825002973489905,0.48002232142857143
24,2.043771952752642,7.71967259183014,0.4468751976847166,1.9123627390180316,6.769063449461747,0.47952008928571427
25,2.038661408520903,7.680321501984164,0.4484181268977733,1.904158742087228,6.71375724984481,0.48189174107142857
26,2.0350131867868213,7.652353034761455,0.4488718133223684,1.8990850721086774,6.679780128480226,0.48451450892857145
27,2.029224342180167,7.608182723051503,0.4507142348810729,1.8946669442313058,6.650333103940007,0.4841517857142857
28,2.0251421368556466,7.577187865757824,0.4516176540359312,1.8885200636727468,6.60957968220268,0.4847377232142857
29,2.020013751288657,7.5384285960568205,0.4527316074139676,1.887908663068499,6.605539816305227,0.48680245535714284
30,2.0172066727147895,7.51729730713405,0.4534254807692308,1.8799712998526437,6.553316778334933,0.48892299107142856
31,2.0129719591333797,7.485531014179668,0.4547539220647773,1.8802525520324707,6.555160172181054,0.48836495535714286
32,2.0094812818866994,7.459446993323973,0.4559340998228745,1.8730198178972517,6.507919487039349,0.48911830357142855
33,2.006117965528357,7.434400656214923,0.4559331113992915,1.8705526079450334,6.4918828742927115,0.4900669642857143
34,2.002977142449815,7.411087150023095,0.4567169313006073,1.8697787421090262,6.486860971315131,0.48970424107142857
35,1.9998576911354837,7.388004645564706,0.45748493642459515,1.8631455557686942,6.443974806934605,0.49185267857142856
36,1.9970527708771741,7.367310917362062,0.4582984090334008,1.8612642696925572,6.431863243085697,0.49190848214285715
37,1.9942941067189823,7.347014988489235,0.4589379190915992,1.8585438319614955,6.414389538477425,0.49207589285714287
38,1.9923937436540118,7.333066250598319,0.4594331193066802,1.8557113238743372,6.396246435608634,0.49375
39,1.9893784759498319,7.310988394810403,0.45955963752530365,1.8527364458356586,6.377246657580738,0.49500558035714287
40,1.9871414706774568,7.294651954389174,0.4605144547064777,1.8516430718558174,6.370277752526295,0.4954799107142857
41,1.9850360898353794,7.279310089815723,0.46118658274291496,1.849494457244873,6.356605174481926,0.49654017857142857
42,1.982090710145742,7.257901301704681,0.4620840713562753,1.845898151397705,6.333785935200846,0.49598214285714287
43,1.9801413588195678,7.243766883126626,0.4624191469509109,1.8460104942321778,6.334497530636326,0.49754464285714284
44,1.9776955191423053,7.226071439601348,0.4627690488992915,1.8434128488813128,6.318064105921192,0.497265625
45,1.97656513756586,7.2179078364385125,0.46327808704453444,1.8388385500226703,6.289229392070592,0.4991908482142857
46,1.9741310219050419,7.2003599793565,0.46376043775303644,1.8384329795837402,6.286679183725033,0.49946986607142857
47,1.9728101646369285,7.19085560988431,0.464349538208502,1.8374524252755302,6.280517774658875,0.4986049107142857
48,1.9708466800118265,7.176750327736929,0.46448297539220645,1.8359885624476842,6.271330684109682,0.49986049107142855
49,1.969013383031374,7.163605266114207,0.4648941596027328,1.8343835421970913,6.261273144799747,0.5002790178571429
50,1.9678442275475876,7.155234791880058,0.4653982556300607,1.8338954108101981,6.258217566678324,0.4996372767857143
51,1.9660983293162666,7.142753378921078,0.46557122975708504,1.8295197350638253,6.230893460168182,0.5017299107142857
52,1.9645503122314267,7.131704828536446,0.46610201322115385,1.8281535148620605,6.2223865001613925,0.501953125
53,1.963852398791294,7.126729252348257,0.4662878368547571,1.8295093945094518,6.230829029608686,0.5001116071428572
54,1.962409428256726,7.1164530079712645,0.4665270353618421,1.8259666987827845,6.2087941527100865,0.5026785714285714
55,1.9610370634055814,7.106693336445152,0.467278237284919,1.8244722638811384,6.199522443739452,0.5017020089285714
